group,catalyst_description,temperature_c,X_EtOH_pct,S_ethylene_pct,S_C4_pct,S_acetaldehyde_pct,S_C4_12_fatty_alcohol_pct,S_methyl_benzaldehyde_alcohol_pct,S_other_pct,co_loading_wt_pct,co_sio2_mass_mg,hap_mass_mg,quartz_sand_mass_mg,total_catalyst_mg,ratio_key,rho,ethanol_feed_ml_min,packing_mode,packing_mode_label,is_a11_special,selectivity_total_pct,selectivity_balance_error_pct_point
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,4.01939132,0.27000000,9.62000000,1.49000000,79.51000000,6.53000000,2.58000000,0.50000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275,12.09775787,0.36000000,8.62000000,1.66000000,81.44000000,5.18000000,2.74000000,0.50000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,-0.00000000
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,29.47656411,0.54000000,10.72000000,2.41000000,76.32000000,5.88000000,4.13000000,0.50000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,-0.00000000
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,43.32562198,1.02000000,18.89000000,4.42000000,59.65000000,7.64000000,8.38000000,0.50000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,-0.00000000
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,60.46842835,2.23000000,27.25000000,6.80000000,45.00000000,8.73000000,9.99000000,0.50000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,400,88.43934444,3.67000000,41.02000000,10.82000000,16.47000000,10.51000000,17.51000000,0.50000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,250,14.78718336,0.14000000,1.96000000,3.27000000,88.42000000,3.36000000,2.85000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,275,12.42401081,0.19000000,6.65000000,11.27000000,70.05000000,5.77000000,6.07000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,300,20.80857647,0.74000000,10.12000000,13.18000000,62.45000000,5.66000000,7.85000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,325,28.34888588,1.14000000,13.86000000,15.83000000,56.28000000,2.92000000,9.97000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,350,36.81157895,3.11000000,18.75000000,16.16000000,48.00000000,4.36000000,9.62000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,400,76.01983214,6.38000000,38.23000000,9.64000000,25.72000000,3.71000000,16.32000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,13.38939673,0.20000000,3.30000000,11.59000000,80.23000000,1.04000000,3.64000000,5.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275,12.78099077,0.38000000,7.10000000,26.67000000,55.70000000,2.02000000,8.13000000,5.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,-0.00000000
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,25.47921620,1.46000000,7.18000000,28.51000000,51.07000000,2.12000000,9.66000000,5.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,55.75502724,14.49000000,10.65000000,42.75000000,19.83000000,3.74000000,8.54000000,5.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,400,83.34761618,6.18000000,37.33000000,16.08000000,19.48000000,7.61000000,13.32000000,5.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,250,19.65629142,0.18000000,5.75000000,3.69000000,87.26000000,0.00000000,3.12000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,275,29.04495625,0.31000000,6.56000000,3.27000000,84.43000000,0.00000000,5.43000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,300,39.98436619,0.57000000,8.84000000,3.98000000,79.99000000,0.00000000,6.62000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,350,58.60499678,2.28000000,18.64000000,8.23000000,45.04000000,3.24000000,22.57000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,400,76.02741620,8.31000000,33.25000000,5.79000000,24.57000000,6.76000000,21.32000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.30000000,0,I,False,100.00000000,0.00000000
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,250,6.26573693,0.14000000,5.63000000,1.59000000,86.50000000,0.00000000,6.14000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,275,8.76156996,0.20000000,8.52000000,4.31000000,82.26000000,0.00000000,4.71000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,300,13.17904788,0.52000000,13.82000000,4.60000000,72.79000000,0.00000000,8.27000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,350,31.72066289,1.45000000,25.89000000,4.15000000,48.52000000,2.25000000,17.74000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,400,56.11638981,6.40000000,41.42000000,4.32000000,24.15000000,0.00000000,23.71000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,250,2.05316161,0.16000000,5.40000000,4.99000000,81.93000000,0.00000000,7.52000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,0.00000000
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,275,3.00257162,0.33000000,9.68000000,4.66000000,75.09000000,0.00000000,10.24000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,0.00000000
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,300,4.72920063,0.53000000,16.10000000,5.08000000,61.02000000,1.57000000,15.70000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,0.00000000
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,350,13.39274477,2.84000000,31.04000000,3.75000000,39.29000000,2.09000000,20.99000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,-0.00000000
A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,400,40.79716290,6.36000000,42.04000000,4.71000000,27.07000000,0.00000000,19.82000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,0.00000000
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,250,0.31996397,1.06000000,2.19000000,12.49000000,83.06000000,0.00000000,1.20000000,5.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,0.00000000
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,275,1.01545343,0.58000000,1.65000000,4.67000000,92.77000000,0.00000000,0.33000000,5.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,0.00000000
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,300,1.68467573,0.80000000,2.17000000,5.80000000,90.32000000,0.00000000,0.91000000,5.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,-0.00000000
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,350,9.01884093,0.81000000,3.30000000,4.30000000,88.98000000,0.70000000,1.91000000,5.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,0.00000000
A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,400,28.59439076,1.93000000,10.29000000,3.68000000,79.20000000,0.00000000,4.90000000,5.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,2.10000000,0,I,False,100.00000000,0.00000000
A11,50mg 1wt%Co/SiO2+  90mg石英砂-乙醇浓度1.68ml/min，无HAP,250,0.22769155,2.14000000,0.10000000,97.76000000,0.00000000,0.00000000,0.00000000,1.00000000,50.00000000,0.00000000,90.00000000,50.00000000,,,1.68000000,0,I,True,100.00000000,0.00000000
A11,50mg 1wt%Co/SiO2+  90mg石英砂-乙醇浓度1.68ml/min，无HAP,275,0.51631204,2.83000000,1.00000000,94.75000000,0.00000000,0.00000000,1.42000000,1.00000000,50.00000000,0.00000000,90.00000000,50.00000000,,,1.68000000,0,I,True,100.00000000,0.00000000
A11,50mg 1wt%Co/SiO2+  90mg石英砂-乙醇浓度1.68ml/min，无HAP,300,1.60755278,3.24000000,1.82000000,93.76000000,0.00000000,0.00000000,1.18000000,1.00000000,50.00000000,0.00000000,90.00000000,50.00000000,,,1.68000000,0,I,True,100.00000000,0.00000000
A11,50mg 1wt%Co/SiO2+  90mg石英砂-乙醇浓度1.68ml/min，无HAP,350,8.20758113,7.61000000,4.35000000,85.83000000,0.00000000,0.00000000,2.21000000,1.00000000,50.00000000,0.00000000,90.00000000,50.00000000,,,1.68000000,0,I,True,100.00000000,-0.00000000
A11,50mg 1wt%Co/SiO2+  90mg石英砂-乙醇浓度1.68ml/min，无HAP,400,32.59349812,13.35000000,7.93000000,75.03000000,0.00000000,0.00000000,3.69000000,1.00000000,50.00000000,0.00000000,90.00000000,50.00000000,,,1.68000000,0,I,True,100.00000000,0.00000000
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,250,1.44170934,0.14000000,6.17000000,3.48000000,81.43000000,7.45000000,1.33000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,275,3.47363040,0.18000000,8.11000000,4.20000000,80.00000000,5.30000000,2.21000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,-0.00000000
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,300,6.91438761,0.43000000,11.22000000,8.83000000,71.28000000,5.34000000,2.90000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,350,19.91229766,1.17000000,22.26000000,13.48000000,46.50000000,5.66000000,10.93000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,400,44.53496674,3.63000000,36.30000000,16.25000000,25.79000000,5.32000000,12.71000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min     ,250,1.34694844,0.31000000,5.19000000,5.39000000,79.60000000,6.87000000,2.64000000,1.00000000,67.00000000,33.00000000,0.00000000,100.00000000,67:33,2.03030303,1.68000000,0,I,False,100.00000000,0.00000000
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min     ,275,2.30545598,0.66000000,7.62000000,7.67000000,74.74000000,5.91000000,3.40000000,1.00000000,67.00000000,33.00000000,0.00000000,100.00000000,67:33,2.03030303,1.68000000,0,I,False,100.00000000,0.00000000
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min     ,300,4.06672931,1.20000000,12.74000000,19.65000000,55.40000000,4.87000000,6.14000000,1.00000000,67.00000000,33.00000000,0.00000000,100.00000000,67:33,2.03030303,1.68000000,0,I,False,100.00000000,0.00000000
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min     ,350,14.63877583,2.53000000,23.46000000,26.42000000,30.99000000,3.52000000,13.08000000,1.00000000,67.00000000,33.00000000,0.00000000,100.00000000,67:33,2.03030303,1.68000000,0,I,False,100.00000000,0.00000000
A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min     ,400,40.04715431,5.19000000,27.91000000,24.73000000,22.05000000,3.85000000,16.27000000,1.00000000,67.00000000,33.00000000,0.00000000,100.00000000,67:33,2.03030303,1.68000000,0,I,False,100.00000000,-0.00000000
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min    ,250,2.49268861,0.14000000,1.89000000,2.63000000,90.74000000,3.18000000,1.42000000,1.00000000,33.00000000,67.00000000,0.00000000,100.00000000,33:67,0.49253731,1.68000000,0,I,False,100.00000000,0.00000000
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min    ,275,5.33483516,0.14000000,2.55000000,2.80000000,89.70000000,2.85000000,1.96000000,1.00000000,33.00000000,67.00000000,0.00000000,100.00000000,33:67,0.49253731,1.68000000,0,I,False,100.00000000,-0.00000000
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min    ,300,10.15203626,0.25000000,3.61000000,4.07000000,85.12000000,3.43000000,3.52000000,1.00000000,33.00000000,67.00000000,0.00000000,100.00000000,33:67,0.49253731,1.68000000,0,I,False,100.00000000,0.00000000
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min    ,350,24.03189856,1.04000000,10.83000000,6.25000000,70.10000000,4.59000000,7.19000000,1.00000000,33.00000000,67.00000000,0.00000000,100.00000000,33:67,0.49253731,1.68000000,0,I,False,100.00000000,0.00000000
A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min    ,400,53.61525686,2.92000000,22.30000000,7.22000000,49.31000000,7.48000000,10.77000000,1.00000000,33.00000000,67.00000000,0.00000000,100.00000000,33:67,0.49253731,1.68000000,0,I,False,100.00000000,0.00000000
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,250,1.40818183,0.10000000,6.32000000,5.70000000,83.40000000,0.00000000,4.48000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,275,3.41791391,0.19000000,8.25000000,4.03000000,81.35000000,0.00000000,6.18000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,300,6.72372576,0.45000000,12.28000000,4.11000000,73.45000000,0.00000000,9.71000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,350,19.30926263,1.22000000,25.97000000,4.40000000,48.32000000,2.44000000,17.65000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,400,43.59544439,3.77000000,41.08000000,4.13000000,26.79000000,1.95000000,22.28000000,1.00000000,50.00000000,50.00000000,0.00000000,100.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min  ,250,2.76302416,0.20000000,3.26000000,2.78000000,89.53000000,0.00000000,4.23000000,1.00000000,100.00000000,100.00000000,0.00000000,200.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min  ,275,4.40266107,0.32000000,4.97000000,3.92000000,83.20000000,0.00000000,7.59000000,1.00000000,100.00000000,100.00000000,0.00000000,200.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min  ,300,6.22356275,0.72000000,9.32000000,5.21000000,71.37000000,3.09000000,10.29000000,1.00000000,100.00000000,100.00000000,0.00000000,200.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min  ,350,16.18703210,2.11000000,22.88000000,6.07000000,47.39000000,4.74000000,16.81000000,1.00000000,100.00000000,100.00000000,0.00000000,200.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min  ,400,45.13523908,8.10000000,38.70000000,7.12000000,24.22000000,4.34000000,17.52000000,1.00000000,100.00000000,100.00000000,0.00000000,200.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,250,0.39477430,0.31000000,2.85000000,18.98000000,76.81000000,0.00000000,1.05000000,1.00000000,10.00000000,10.00000000,0.00000000,20.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,275,0.61519783,0.42000000,5.35000000,19.79000000,73.56000000,0.00000000,0.88000000,1.00000000,10.00000000,10.00000000,0.00000000,20.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,300,1.14894845,0.74000000,7.61000000,19.86000000,70.07000000,0.00000000,1.72000000,1.00000000,10.00000000,10.00000000,0.00000000,20.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,325,3.28521284,1.16000000,7.74000000,16.61000000,67.57000000,3.77000000,3.15000000,1.00000000,10.00000000,10.00000000,0.00000000,20.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,-0.00000000
B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,350,6.01029956,1.81000000,13.81000000,20.27000000,53.38000000,4.64000000,6.09000000,1.00000000,10.00000000,10.00000000,0.00000000,20.00000000,1:1,1.00000000,1.68000000,1,II,False,100.00000000,0.00000000
