factor,block_id,group,level,response,mean_response_pct,gamma_pct_point,block_grand_mean_pct,common_temperatures_c,curves_cross,rank_order_stable,response_250c_pct,response_275c_pct,response_300c_pct,response_350c_pct,temperature_mean_250c_pct,temperature_mean_275c_pct,temperature_mean_300c_pct,temperature_mean_350c_pct,response_400c_pct,temperature_mean_400c_pct
total_catalyst_mg,total_catalyst_mg:3,B3,20,S_C4,10.17,-3.74,13.91,250/275/300/350/400,True,False,2.85,5.35,7.61,13.81,4.71,6.00,8.61,19.63,21.21,30.58
total_catalyst_mg,total_catalyst_mg:3,B4,50,S_C4,10.57,-3.34,13.91,250/275/300/350/400,True,False,6.62,6.62,5.05,13.10,4.71,6.00,8.61,19.63,21.45,30.58
total_catalyst_mg,total_catalyst_mg:3,B1,100,S_C4,18.78,4.87,13.91,250/275/300/350/400,True,False,6.32,8.25,12.28,25.97,4.71,6.00,8.61,19.63,41.08,30.58
total_catalyst_mg,total_catalyst_mg:3,B6,150,S_C4,14.19,0.28,13.91,250/275/300/350/400,True,False,4.50,4.79,8.77,22.41,4.71,6.00,8.61,19.63,30.48,30.58
total_catalyst_mg,total_catalyst_mg:3,B2,200,S_C4,15.83,1.92,13.91,250/275/300/350/400,True,False,3.26,4.97,9.32,22.88,4.71,6.00,8.61,19.63,38.70,30.58
ratio_key,ratio_key:1,A14,33:67,X_EtOH,19.13,3.50,15.62,250/275/300/350/400,False,True,2.49,5.33,10.15,24.03,1.76,3.70,7.04,19.53,53.62,46.07
ratio_key,ratio_key:1,A12,1:1,X_EtOH,15.26,-0.37,15.62,250/275/300/350/400,False,True,1.44,3.47,6.91,19.91,1.76,3.70,7.04,19.53,44.53,46.07
ratio_key,ratio_key:1,A13,67:33,X_EtOH,12.48,-3.14,15.62,250/275/300/350/400,False,True,1.35,2.31,4.07,14.64,1.76,3.70,7.04,19.53,40.05,46.07
ratio_key,ratio_key:1,A14,33:67,S_C4,8.24,-5.24,13.48,250/275/300/350/400,True,False,1.89,2.55,3.61,10.83,4.42,6.09,9.19,18.85,22.30,28.84
ratio_key,ratio_key:1,A12,1:1,S_C4,16.81,3.33,13.48,250/275/300/350/400,True,False,6.17,8.11,11.22,22.26,4.42,6.09,9.19,18.85,36.30,28.84
ratio_key,ratio_key:1,A13,67:33,S_C4,15.38,1.91,13.48,250/275/300/350/400,True,False,5.19,7.62,12.74,23.46,4.42,6.09,9.19,18.85,27.91,28.84
ethanol_feed_ml_min,ethanol_feed_ml_min:3,A7,0.3,X_EtOH,44.66,20.68,23.98,250/275/300/350/400,True,False,19.66,29.04,39.98,58.60,7.35,11.07,16.20,30.91,76.03,54.37
ethanol_feed_ml_min,ethanol_feed_ml_min:3,A8,0.9,X_EtOH,23.21,-0.77,23.98,250/275/300/350/400,True,False,6.27,8.76,13.18,31.72,7.35,11.07,16.20,30.91,56.12,54.37
ethanol_feed_ml_min,ethanol_feed_ml_min:3,A12,1.68,X_EtOH,15.26,-8.73,23.98,250/275/300/350/400,True,False,1.44,3.47,6.91,19.91,7.35,11.07,16.20,30.91,44.53,54.37
ethanol_feed_ml_min,ethanol_feed_ml_min:3,A9,2.1,X_EtOH,12.79,-11.19,23.98,250/275/300/350/400,True,False,2.05,3.00,4.73,13.39,7.35,11.07,16.20,30.91,40.80,54.37
ethanol_feed_ml_min,ethanol_feed_ml_min:3,A7,0.3,S_C4,14.61,-3.22,17.83,250/275/300/350/400,True,False,5.75,6.56,8.84,18.64,5.74,8.22,12.50,24.46,33.25,38.25
ethanol_feed_ml_min,ethanol_feed_ml_min:3,A8,0.9,S_C4,19.06,1.22,17.83,250/275/300/350/400,True,False,5.63,8.52,13.82,25.89,5.74,8.22,12.50,24.46,41.42,38.25
ethanol_feed_ml_min,ethanol_feed_ml_min:3,A12,1.68,S_C4,16.81,-1.02,17.83,250/275/300/350/400,True,False,6.17,8.11,11.22,22.26,5.74,8.22,12.50,24.46,36.30,38.25
ethanol_feed_ml_min,ethanol_feed_ml_min:3,A9,2.1,S_C4,20.85,3.02,17.83,250/275/300/350/400,True,False,5.40,9.68,16.10,31.04,5.74,8.22,12.50,24.46,42.04,38.25
